Model 	GenomeIDSpeciesA 	GenomeIDSpeciesB 	GRSpeciesAFull 	GRSpeciesBFull 	GRASolo 	GRBSolo 	PercentChangeRawA 	PercentChangeRawB 	TypeOfInteraction
411485.10X1203573.3 	411485.10 	1203573.3 	23.9153679453 	12.0294983331 	19.270666145 	25.3374074362 	0.241024454752 	-0.525227734393 	Parasitism
411485.10X562973.4 	411485.10 	562973.4 	23.6768949555 	108.473250417 	19.270666145 	107.85272389 	0.228649532784 	0.00575346180068 	Commensalism
411902.9X411485.10 	411902.9 	411485.10 	50.6762683064 	8.80838844988 	48.94867752 	19.270666145 	0.0352939215915 	-0.542912093251 	Amensalism
428125.8X1035187.4 	428125.8 	1035187.4 	8.41872358052e-27 	3.62233176535 	2.38869688949 	3.62233176535 	-1.0 	0.0 	Amensalism
428125.8X1076135.3 	428125.8 	1076135.3 	11.7025260522 	185.273417799 	2.38869688949 	187.733921963 	3.89912558755 	-0.0131063376201 	Commensalism
428125.8X267747.3 	428125.8 	267747.3 	9.55899031724 	148.018756669 	2.38869688949 	154.353403393 	3.00175943599 	-0.041039890179 	Commensalism
428125.8X699246.3 	428125.8 	699246.3 	-2.63201139065e-14 	2.44663540505 	2.38869688949 	1.22331770253 	-1.0 	0.999999999992 	Parasitism
435590.9X1203556.3 	435590.9 	1203556.3 	17.8141753371 	26.2265354981 	17.8141753371 	19.8774037601 	0.0 	0.319414537966 	Commensalism
435590.9X1227268.3 	435590.9 	1227268.3 	17.8141753371 	86.5823178198 	17.8141753371 	86.5823178198 	0.0 	0.0 	Neutralism
435590.9X267747.3 	435590.9 	267747.3 	17.8141753371 	157.485614292 	17.8141753371 	154.353403393 	0.0 	0.0202924641125 	Neutralism
435590.9X397291.3 	435590.9 	397291.3 	71.9335937706 	16.7713596232 	17.8141753371 	10.411622184 	3.03799740428 	0.610830601304 	Mutualism
435590.9X592010.4 	435590.9 	592010.4 	17.8141753371 	25.7689463794 	17.8141753371 	20.0428739029 	0.0 	0.28569118901 	Commensalism
435590.9X717959.3 	435590.9 	717959.3 	17.8141753371 	74.9640409825 	17.8141753371 	58.3503866084 	0.0 	0.284722267319 	Commensalism
435590.9X857576.3 	435590.9 	857576.3 	17.8141753371 	84.3808455581 	17.8141753371 	61.8399334363 	0.0 	0.364504145934 	Commensalism
435590.9X944560.4 	435590.9 	944560.4 	17.8141753371 	89.4338124008 	17.8141753371 	85.6749235987 	0.0 	0.0438738506463 	Neutralism
435590.9X997353.4 	435590.9 	997353.4 	17.8141753371 	70.6356690236 	17.8141753371 	70.6356690236 	0.0 	0.0 	Neutralism
447454.3X1268240.3 	447454.3 	1268240.3 	45.5703013205 	88.2893748444 	48.829022168 	93.6925318894 	-0.0667373767242 	-0.0576690258662 	Neutralism
447454.3X904296.3 	447454.3 	904296.3 	55.2375525741 	7.00433855074 	48.829022168 	12.8302444233 	0.131244291234 	-0.454075984864 	Parasitism
447454.3X999421.3 	447454.3 	999421.3 	45.2097825235 	72.4700157184 	48.829022168 	75.5233951232 	-0.0741206660262 	-0.0404295834399 	Neutralism
457394.3X997894.4 	457394.3 	997894.4 	71.9332260583 	43.6171635914 	17.8136687039 	43.0367913625 	3.03809160561 	0.0134854902172 	Commensalism
457412.4X553220.3 	457412.4 	553220.3 	12.1202485049 	19.3993364383 	16.9457019805 	8.88257899999 	-0.284759727343 	1.18397567174 	Parasitism
457416.3X1035197.3 	457416.3 	1035197.3 	95.4226445758 	60.019681731 	95.1081764187 	60.019681731 	0.00330642610279 	0.0 	Neutralism
457416.3X1268240.3 	457416.3 	1268240.3 	78.4148272059 	126.852641767 	95.1081764187 	93.6925318894 	-0.175519601378 	0.353924792178 	Parasitism
457416.3X447454.3 	457416.3 	447454.3 	99.378534759 	44.1572627929 	95.1081764187 	48.829022168 	0.044900012818 	-0.0956758740535 	Neutralism
457416.3X592026.3 	457416.3 	592026.3 	101.784275931 	7.63206993399 	95.1081764187 	3.60196758494 	0.0701948009487 	1.11886135952 	Commensalism
457416.3X626369.3 	457416.3 	626369.3 	100.899087617 	6.51032475615 	95.1081764187 	2.39345230288 	0.060887627293 	1.72005619177 	Commensalism
457416.3X904296.3 	457416.3 	904296.3 	93.3597565933 	25.3803521113 	95.1081764187 	12.8302444233 	-0.018383485955 	0.978165908142 	Commensalism
