ModelName 	ObjFuntionSpeciesA 	ObjFunctionSpeceisB 	GRSpeciesAFull 	GRSpeciesBFull 	GRASolo 	GRBSolo
A_1332188_3XA_1321817_3 	A_1332188_3 	A_1321817_3 	36.8896643112 	13.515448632 	36.8896643112 	14.6511250878
A_1332188_3XA_267747_3 	A_1332188_3 	A_267747_3 	36.8896643112 	152.638238703 	36.8896643112 	154.353403393
A_1332188_3XA_457394_3 	A_1332188_3 	A_457394_3 	36.8896643112 	17.8136687039 	36.8896643112 	17.8136687039
A_1332188_3XA_552395_3_model 	A_1332188_3 	A_552395_3_model 	36.8896643112 	15.2787847007 	36.8896643112 	16.1579856101
A_1332188_3XA_596320_3 	A_1332188_3 	A_596320_3 	36.8896643112 	96.8020567076 	36.8896643112 	97.6127807015
A_1332188_3XA_679201_3 	A_1332188_3 	A_679201_3 	36.8896643112 	122.35778011 	36.8896643112 	126.132923418
A_1332188_3XA_713605_5 	A_1332188_3 	A_713605_5 	36.8896643112 	3.00305334041 	36.8896643112 	3.87438055954
A_1332188_3XA_857291_3 	A_1332188_3 	A_857291_3 	27.700835678 	63.7648148707 	36.8896643112 	63.7648148707
A_1332188_3XA_871541_3 	A_1332188_3 	A_871541_3 	36.8896643112 	94.5019520383 	36.8896643112 	95.5096417611
A_1332188_3XA_888056_4 	A_1332188_3 	A_888056_4 	36.8896643112 	114.986786905 	36.8896643112 	115.248285445
A_1332188_3XA_925409_4 	A_1332188_3 	A_925409_4 	36.8896643112 	89.1112266795 	36.8896643112 	90.0870500303
A_1332188_3XA_997830_4 	A_1332188_3 	A_997830_4 	36.8896643112 	1.53294595523 	36.8896643112 	2.41581420921
A_1332188_3XA_997894_4 	A_1332188_3 	A_997894_4 	36.8896643112 	42.2090042643 	36.8896643112 	43.0367913625
A_1339350_3XA_267747_3 	A_1339350_3 	A_267747_3 	17.8140740078 	156.902522077 	17.8140740078 	154.353403393
A_1339350_3XA_537011_5 	A_1339350_3 	A_537011_5 	56.1580998111 	61.6606055828 	17.8140740078 	73.0927528114
A_1381118_3XA_457416_3 	A_1381118_3 	A_457416_3 	20.8939040927 	107.229483828 	24.6279547368 	95.1081764187
A_1400053_5XA_1203573_3 	A_1400053_5 	A_1203573_3 	57.001750171 	21.1685848242 	54.3494132372 	25.3374074362
A_1414719_3XA_1095745_3 	A_1414719_3 	A_1095745_3 	92.6904593967 	155.755008788 	94.1890723412 	152.237658433
A_1414719_3XA_1227268_3 	A_1414719_3 	A_1227268_3 	93.9604065694 	83.0054759552 	94.1890723412 	86.5823178198
A_1414719_3XA_267747_3 	A_1414719_3 	A_267747_3 	89.6885745442 	142.712039667 	94.1890723412 	154.353403393
A_1414719_3XA_562981_3 	A_1414719_3 	A_562981_3 	110.488642711 	6.63420246999 	94.1890723412 	14.5931177728
A_1414719_3XA_862512_3 	A_1414719_3 	A_862512_3 	113.77418769 	17.4441882611 	94.1890723412 	26.1459817409
A_1459803_3_modelXA_267747_3 	A_1459803_3_model 	A_267747_3 	72.4614504777 	174.792586006 	143.915531457 	154.353403393
A_1476577_3XA_1077975_4 	A_1476577_3 	A_1077975_4 	8.68104608553 	124.278819082 	1.18775713882 	128.148389783
A_1476577_3XA_1105030_3 	A_1476577_3 	A_1105030_3 	10.9329642919 	9.06065299871 	1.18775713882 	19.877492208
A_1476577_3XA_1197728_3 	A_1476577_3 	A_1197728_3 	0.636683349554 	63.6905915761 	1.18775713882 	63.69184768
A_1476577_3XA_1235815_4 	A_1476577_3 	A_1235815_4 	0.782943518386 	46.3920736749 	1.18775713882 	46.3929172715
A_1476577_3XA_1332188_3 	A_1476577_3 	A_1332188_3 	0.321148621562 	36.8245664005 	1.18775713882 	36.8896643112
A_1476577_3XA_267747_3 	A_1476577_3 	A_267747_3 	7.93477203157 	149.16609521 	1.18775713882 	154.353403393
A_1476577_3XA_457394_3 	A_1476577_3 	A_457394_3 	9.10545780713 	17.8136687039 	1.18775713882 	17.8136687039
A_1476577_3XA_552395_3_model 	A_1476577_3 	A_552395_3_model 	-0.0 	16.1579856101 	1.18775713882 	16.1579856101
A_1476577_3XA_596320_3 	A_1476577_3 	A_596320_3 	4.629083505 	95.7882091186 	1.18775713882 	97.6127807015
A_1476577_3XA_635013_3 	A_1476577_3 	A_635013_3 	1.53032107817e-15 	2.38864222342 	1.18775713882 	2.38864222342
A_1476577_3XA_679201_3 	A_1476577_3 	A_679201_3 	0.684458592989 	125.547635104 	1.18775713882 	126.132923418
A_1476577_3XA_713605_5 	A_1476577_3 	A_713605_5 	-1.63869890772e-15 	3.87438055954 	1.18775713882 	3.87438055954
A_1476577_3XA_754027_3 	A_1476577_3 	A_754027_3 	3.68294600663 	80.3680162911 	1.18775713882 	81.146377763
A_1476577_3XA_857291_3 	A_1476577_3 	A_857291_3 	0.640725692558 	63.7648148707 	1.18775713882 	63.7648148707
A_1476577_3XA_871541_3 	A_1476577_3 	A_871541_3 	7.15879316314 	92.9774418434 	1.18775713882 	95.5096417611
A_1476577_3XA_888056_4 	A_1476577_3 	A_888056_4 	10.9973336678 	113.951471172 	1.18775713882 	115.248285445
A_1476577_3XA_925409_4 	A_1476577_3 	A_925409_4 	1.81046869937 	90.0291693283 	1.18775713882 	90.0870500303
A_1476577_3XA_997894_4 	A_1476577_3 	A_997894_4 	10.9329642919 	32.581667581 	1.18775713882 	43.0367913625
A_1479623_3XA_1105029_3 	A_1479623_3 	A_1105029_3 	133.824645196 	27.8542852323 	118.691038032 	19.8774294792
A_1514668_3_modelXA_1035187_4 	A_1514668_3_model 	A_1035187_4 	2.85039634338 	10.1530409873 	7.62721135959 	3.62233176535
A_1514668_3_modelXA_1035197_3 	A_1514668_3_model 	A_1035197_3 	5.91960865377 	60.0146434841 	7.62721135959 	60.019681731
A_1514668_3_modelXA_1076135_3 	A_1514668_3_model 	A_1076135_3 	12.3717171487 	185.365618911 	7.62721135959 	187.733921963
A_1514668_3_modelXA_1077975_4 	A_1514668_3_model 	A_1077975_4 	11.2825440333 	124.013459055 	7.62721135959 	128.148389783
A_1514668_3_modelXA_1097667_3 	A_1514668_3_model 	A_1097667_3 	7.65273656973 	139.381617263 	7.62721135959 	140.768548444
